mechanism,accuracy,fairness,stability,consistency,topsis_score
Percentage_System,1.0,0.2712963997365805,0.7,0.6856060606060606,0.3004
Ranking_System,0.6856060606060606,1.0,0.9,0.6856060606060606,0.6996
