w_base,alpha,tau,delta,f1_elitism,f2_excitement,f3_disaster
0.7,0.15,0.3,2,0.506678924656125,0.7459708365310821,0.029411764705882353
0.7,0.2,0.2,0,0.5926156035631115,0.7597851112816577,0.029411764705882353
0.7,0.2,0.2,1,0.5286593463065354,0.7498081350729087,0.058823529411764705
0.7,0.2,0.2,2,0.5062743607973891,0.7459708365310821,0.029411764705882353
0.7,0.2,0.25,0,0.5926156035631115,0.7597851112816577,0.029411764705882353
0.7,0.2,0.25,1,0.5286593463065354,0.7498081350729087,0.058823529411764705
0.7,0.2,0.25,2,0.5062743607973891,0.7459708365310821,0.029411764705882353
0.7,0.2,0.3,0,0.5926156035631115,0.7597851112816577,0.029411764705882353
0.7,0.2,0.3,1,0.5286593463065354,0.7498081350729087,0.058823529411764705
0.7,0.2,0.3,2,0.5062743607973891,0.7459708365310821,0.029411764705882353
0.75,0.05,0.2,0,0.564850101064729,0.7567152724481965,0.029411764705882353
0.75,0.05,0.2,1,0.5174625837653654,0.7490406753645433,0.058823529411764705
0.75,0.05,0.2,2,0.5048932103704107,0.7459708365310821,0.029411764705882353
0.75,0.05,0.25,0,0.564850101064729,0.7567152724481965,0.029411764705882353
0.75,0.05,0.25,1,0.5174625837653654,0.7490406753645433,0.058823529411764705
0.75,0.05,0.25,2,0.5048932103704107,0.7459708365310821,0.029411764705882353
0.75,0.05,0.3,0,0.564850101064729,0.7567152724481965,0.029411764705882353
0.75,0.05,0.3,1,0.5174625837653654,0.7490406753645433,0.058823529411764705
0.75,0.05,0.3,2,0.5048932103704107,0.7459708365310821,0.029411764705882353
0.75,0.1,0.2,0,0.5699141796742107,0.7567152724481965,0.029411764705882353
0.75,0.1,0.2,1,0.5193620710318899,0.7490406753645433,0.058823529411764705
0.75,0.1,0.2,2,0.5048932103704107,0.7459708365310821,0.029411764705882353
0.75,0.1,0.25,0,0.5699141796742107,0.7567152724481965,0.029411764705882353
0.75,0.1,0.25,1,0.5193620710318899,0.7490406753645433,0.058823529411764705
0.75,0.1,0.25,2,0.5048932103704107,0.7459708365310821,0.029411764705882353
0.75,0.1,0.3,0,0.5699141796742107,0.7567152724481965,0.029411764705882353
0.75,0.1,0.3,1,0.5193620710318899,0.7490406753645433,0.058823529411764705
0.75,0.1,0.3,2,0.5048932103704107,0.7459708365310821,0.029411764705882353
0.75,0.15,0.2,0,0.5731594018087443,0.7567152724481965,0.029411764705882353
0.75,0.15,0.2,1,0.5193620710318899,0.7490406753645433,0.058823529411764705
0.75,0.15,0.2,2,0.5077073080374495,0.7459708365310821,0.029411764705882353
0.75,0.15,0.25,0,0.5731594018087443,0.7567152724481965,0.029411764705882353
0.75,0.15,0.25,1,0.5193620710318899,0.7490406753645433,0.058823529411764705
0.75,0.15,0.25,2,0.5077073080374495,0.7459708365310821,0.029411764705882353
0.75,0.15,0.3,0,0.5731594018087443,0.7567152724481965,0.029411764705882353
0.75,0.15,0.3,1,0.5193620710318899,0.7490406753645433,0.058823529411764705
0.75,0.15,0.3,2,0.5077073080374495,0.7459708365310821,0.029411764705882353
0.75,0.2,0.2,0,0.5814642484218047,0.7559478127398311,0.029411764705882353
0.75,0.2,0.2,1,0.5197259928053358,0.7490406753645433,0.058823529411764705
0.75,0.2,0.2,2,0.49762734829894295,0.7459708365310821,0.029411764705882353
0.75,0.2,0.25,0,0.5814642484218047,0.7559478127398311,0.029411764705882353
0.75,0.2,0.25,1,0.5197259928053358,0.7490406753645433,0.058823529411764705
0.75,0.2,0.25,2,0.49762734829894295,0.7459708365310821,0.029411764705882353
0.75,0.2,0.3,0,0.5814642484218047,0.7559478127398311,0.029411764705882353
0.75,0.2,0.3,1,0.5197259928053358,0.7490406753645433,0.058823529411764705
0.75,0.2,0.3,2,0.49762734829894295,0.7459708365310821,0.029411764705882353
0.8,0.05,0.2,0,0.560553569492396,0.7551803530314658,0.029411764705882353
0.8,0.05,0.2,1,0.5086817073090868,0.7475057559478128,0.029411764705882353
0.8,0.05,0.2,2,0.4976349745718635,0.7459708365310821,0.029411764705882353
0.8,0.05,0.25,0,0.560553569492396,0.7551803530314658,0.029411764705882353
0.8,0.05,0.25,1,0.5086817073090868,0.7475057559478128,0.029411764705882353
0.8,0.05,0.25,2,0.4976349745718635,0.7459708365310821,0.029411764705882353
0.8,0.05,0.3,0,0.560553569492396,0.7551803530314658,0.029411764705882353
0.8,0.05,0.3,1,0.5086817073090868,0.7475057559478128,0.029411764705882353
0.8,0.05,0.3,2,0.4976349745718635,0.7459708365310821,0.029411764705882353
0.8,0.1,0.2,0,0.5460794525913842,0.7551803530314658,0.029411764705882353
0.8,0.1,0.2,1,0.5070134676014926,0.7475057559478128,0.029411764705882353
0.8,0.1,0.2,2,0.49660478858901297,0.7459708365310821,0.029411764705882353
0.8,0.1,0.25,0,0.5460794525913842,0.7551803530314658,0.029411764705882353
0.8,0.1,0.25,1,0.5070134676014926,0.7475057559478128,0.029411764705882353
0.8,0.1,0.25,2,0.49660478858901297,0.7459708365310821,0.029411764705882353
0.8,0.1,0.3,0,0.5460794525913842,0.7551803530314658,0.029411764705882353
0.8,0.1,0.3,1,0.5070134676014926,0.7475057559478128,0.029411764705882353
0.8,0.1,0.3,2,0.49660478858901297,0.7459708365310821,0.029411764705882353
0.8,0.15,0.2,0,0.528975001930637,0.7559478127398311,0.058823529411764705
0.8,0.15,0.2,1,0.5077296312389089,0.7482732156561781,0.029411764705882353
0.8,0.15,0.2,2,0.4913171136187587,0.7459708365310821,0.029411764705882353
0.8,0.15,0.25,0,0.528975001930637,0.7559478127398311,0.058823529411764705
0.8,0.15,0.25,1,0.5077296312389089,0.7482732156561781,0.029411764705882353
0.8,0.15,0.25,2,0.4913171136187587,0.7459708365310821,0.029411764705882353
0.8,0.15,0.3,0,0.528975001930637,0.7559478127398311,0.058823529411764705
0.8,0.15,0.3,1,0.5077296312389089,0.7482732156561781,0.029411764705882353
0.8,0.15,0.3,2,0.4913171136187587,0.7459708365310821,0.029411764705882353
0.8,0.2,0.2,0,0.5298799793062026,0.7559478127398311,0.058823529411764705
0.8,0.2,0.2,1,0.5054640736299882,0.7490406753645433,0.058823529411764705
0.8,0.2,0.2,2,0.49830333111797165,0.7459708365310821,0.029411764705882353
0.8,0.2,0.25,0,0.5298799793062026,0.7559478127398311,0.058823529411764705
0.8,0.2,0.25,1,0.5054640736299882,0.7490406753645433,0.058823529411764705
0.8,0.2,0.25,2,0.49830333111797165,0.7459708365310821,0.029411764705882353
0.8,0.2,0.3,0,0.5298799793062026,0.7559478127398311,0.058823529411764705
0.8,0.2,0.3,1,0.5054640736299882,0.7490406753645433,0.058823529411764705
0.8,0.2,0.3,2,0.49830333111797165,0.7459708365310821,0.029411764705882353
