mechanism,accuracy,fairness,stability,consistency,topsis_score
Percentage_System,1.0,0.4733016259275909,0.7,0.6856060606060606,0.59
Ranking_System,0.6856060606060606,0.5666145076235036,0.9,0.6856060606060606,0.41
