variable,coef,std_err,t,p_value,ci_lower,ci_upper
const,32.28920585659834,0.9222668262150916,35.010698573113196,1.076345189675077e-222,30.480806480370223,34.09760523282646
age,-0.20304938997128075,0.045781984750442324,-4.435137337931138,9.55968740403638e-06,-0.2928196281624963,-0.11327915178006522
age2,0.000768312144506736,0.0005265435587313461,1.459161605466995,0.14463393697641536,-0.00026414507514026806,0.00180076936415374
I_Athlete,2.8706498666772013,0.9978823906019595,2.8767416818985243,0.00404874281916306,0.9139819681695467,4.827317765184856
age_x_athlete,-0.09848408737992156,0.02905483879674637,-3.38959331589718,0.0007097532081224954,-0.15545540073841663,-0.041512774021426516
